timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,dst_mac_pcap,bssid_pcap,frame_len,ie_ids,ssid_pcap,frame_type_pcap,seq_ctl,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-21 12:04:52.776000+00:00,beacon,86:2a:fd:9a:d8:4d,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,DIRECT-4D-HP OfficeJet Pro 9010,-66.0,11,2462,,,,0,0,99.99,727,,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,493.0,"0,1,3,5,42,45,48,61,127,59,221",DIRECT-4D-HP OfficeJet Pro 9010,beacon,34208.0,,,,Broadcast,,2138
2025-12-21 12:04:52.879000+00:00,beacon,86:2a:fd:9a:d8:4d,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,DIRECT-4D-HP OfficeJet Pro 9010,-65.0,11,2462,,,,0,0,99.99,727,,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,493.0,"0,1,3,5,42,45,48,61,127,59,221",DIRECT-4D-HP OfficeJet Pro 9010,beacon,34224.0,,,,Broadcast,,2139
2025-12-21 12:04:52.981000+00:00,beacon,86:2a:fd:9a:d8:4d,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,DIRECT-4D-HP OfficeJet Pro 9010,-66.0,11,2462,,,,0,0,99.99,727,,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,493.0,"0,1,3,5,42,45,48,61,127,59,221",DIRECT-4D-HP OfficeJet Pro 9010,beacon,34240.0,,,,Broadcast,,2140
2025-12-21 12:04:53.874000+00:00,beacon,6c:8b:d3:e1:07:e3,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,just4visitors,-59.0,11,2462,,,,0,0,99.99,728,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,308.0,"0,1,3,5,7,32,42,11,70,54,45,61,127,221,133",just4visitors,beacon,7504.0,,,,Broadcast,Cisco,469
2025-12-21 12:04:53.910000+00:00,beacon,6c:8b:d3:e1:07:ea,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,iotred,-59.0,11,2462,,,,0,0,99.99,728,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,333.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",iotred,beacon,7520.0,,,,Broadcast,Cisco,470
2025-12-21 12:04:53.962000+00:00,beacon,6c:8b:d3:e1:07:e0,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,BGU-WIFI,-58.0,11,2462,,,,0,0,99.99,729,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,322.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",BGU-WIFI,beacon,7536.0,,,,Broadcast,Cisco,471
2025-12-21 12:04:53.965000+00:00,beacon,76:58:79:d7:89:d2,ff:ff:ff:ff:ff:ff,76:58:79:d7:89:d2,D-oneplus,-78.0,11,2462,,,,0,0,99.99,729,,ff:ff:ff:ff:ff:ff,76:58:79:d7:89:d2,283.0,"0,1,3,5,7,42,50,48,59,45,61,127,191,192,221",D-oneplus,beacon,10768.0,,,,Broadcast,,673
2025-12-21 12:04:53.966000+00:00,beacon,6c:8b:d3:e1:07:e1,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,eduroam,-59.0,11,2462,,,,0,0,99.99,730,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,321.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",eduroam,beacon,7552.0,,,,Broadcast,Cisco,472
2025-12-21 12:04:53.972000+00:00,beacon,6c:8b:d3:e1:07:e2,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e2,SOP,-59.0,11,2462,,,,0,0,99.99,730,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e2,320.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",SOP,beacon,7568.0,,,,Broadcast,Cisco,473
2025-12-21 12:04:53.977000+00:00,beacon,6c:8b:d3:e1:07:e3,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,just4visitors,-59.0,11,2462,,,,0,0,99.99,731,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,308.0,"0,1,3,5,7,32,42,11,70,54,45,61,127,221,133",just4visitors,beacon,7584.0,,,,Broadcast,Cisco,474
2025-12-21 12:04:54.012000+00:00,beacon,6c:8b:d3:e1:07:ea,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,iotred,-57.0,11,2462,,,,0,0,99.99,731,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,333.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",iotred,beacon,7600.0,,,,Broadcast,Cisco,475
2025-12-21 12:04:54.064000+00:00,beacon,6c:8b:d3:e1:07:e0,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,BGU-WIFI,-59.0,11,2462,,,,0,0,99.99,732,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,322.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",BGU-WIFI,beacon,7616.0,,,,Broadcast,Cisco,476
2025-12-21 12:04:54.068000+00:00,beacon,76:58:79:d7:89:d2,ff:ff:ff:ff:ff:ff,76:58:79:d7:89:d2,D-oneplus,-77.0,11,2462,,,,0,0,99.99,732,,ff:ff:ff:ff:ff:ff,76:58:79:d7:89:d2,283.0,"0,1,3,5,7,42,50,48,59,45,61,127,191,192,221",D-oneplus,beacon,10784.0,,,,Broadcast,,674
2025-12-21 12:04:54.069000+00:00,beacon,6c:8b:d3:e1:07:e1,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,eduroam,-58.0,1,2412,,,,0,0,99.99,746,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,321.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",eduroam,beacon,7632.0,,,,Broadcast,Cisco,477
2025-12-21 12:04:54.079000+00:00,beacon,6c:8b:d3:e1:07:e3,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,just4visitors,-59.0,1,2412,,,,0,0,99.99,747,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e3,308.0,"0,1,3,5,7,32,42,11,70,54,45,61,127,221,133",just4visitors,beacon,7664.0,,,,Broadcast,Cisco,479
2025-12-21 12:04:54.115000+00:00,beacon,6c:8b:d3:e1:07:ea,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,iotred,-59.0,1,2412,,,,0,0,99.99,748,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:ea,333.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",iotred,beacon,7680.0,,,,Broadcast,Cisco,480
2025-12-21 12:04:54.166000+00:00,beacon,6c:8b:d3:e1:07:e0,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,BGU-WIFI,-59.0,1,2412,,,,0,0,99.99,748,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e0,322.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",BGU-WIFI,beacon,7696.0,,,,Broadcast,Cisco,481
2025-12-21 12:04:54.171000+00:00,beacon,6c:8b:d3:e1:07:e1,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,eduroam,-59.0,1,2412,,,,0,0,99.99,749,Cisco,ff:ff:ff:ff:ff:ff,6c:8b:d3:e1:07:e1,321.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127,221,133",eduroam,beacon,7712.0,,,,Broadcast,Cisco,482
